crime_location
Millbrae
Balboa Park
Embarcadero
Milpitas
Richmond
24th St. Mission
Coliseum
Fruitvale
North Concord/Martinez
Antioch
MacArthur
West Oakland
West Dublin/Pleasanton
Walnut Creek
Ashby
Civic Center/UN Plaza
Union City
Fremont
16th St. Mission
El Cerrito del Norte
Lake Merritt
South San Francisco
San Bruno
El Cerrito Plaza
Berryessa/North San Jose
North Berkeley
San Francisco International Airport
Lafayette
Bay Fair
Powell St.
Pleasant Hill/Contra Costa Centre
Castro Valley
Concord
Hayward
Daly City
12th St. Oakland City Center
Dublin/Pleasanton
Glen Park
Montgomery St.
San Leandro
19th St. Oakland
Colma
Downtown Berkeley
Oakland International Airport
Orinda
Pittsburg/Bay Point
Pittsburg Center
Rockridge
South Hayward
Warm Springs/South Fremont
